region,channel,current_spend_weekly,optimal_spend_mean,optimal_spend_lo90,optimal_spend_hi90,spend_delta_mean,spend_delta_pct,revenue_uplift_mean_wkly,revenue_uplift_pct
canada,tv,166597.0,195599.0,179254.0,210619.0,29002.0,17.4,58320.0,12.48
canada,paid_search,93108.0,155896.0,133632.0,180383.0,62788.0,67.4,58320.0,12.48
canada,social,106562.0,13709.0,10656.0,10656.0,-92853.0,-87.1,58320.0,12.48
canada,display,33092.0,34155.0,3309.0,44393.0,1063.0,3.2,58320.0,12.48
united_states,tv,118773.0,141202.0,125794.0,156421.0,22429.0,18.9,34696.0,11.08
united_states,paid_search,75467.0,128195.0,94557.0,151027.0,52728.0,69.9,34696.0,11.08
united_states,social,88731.0,14249.0,8873.0,56546.0,-74482.0,-83.9,34696.0,11.08
united_states,display,25513.0,24839.0,2551.0,34936.0,-675.0,-2.6,34696.0,11.08
germany,tv,55158.0,61210.0,51531.0,68965.0,6051.0,11.0,12284.0,8.26
germany,paid_search,32752.0,49951.0,3275.0,63596.0,17199.0,52.5,12284.0,8.26
germany,social,36029.0,10620.0,3603.0,56077.0,-25408.0,-70.5,12284.0,8.26
germany,display,11874.0,14032.0,10570.0,19275.0,2158.0,18.2,12284.0,8.26
japan,tv,59016.0,63550.0,54121.0,71370.0,4534.0,7.7,13358.0,10.45
japan,paid_search,29426.0,51924.0,29357.0,62614.0,22499.0,76.5,13358.0,10.45
japan,social,35817.0,7759.0,3582.0,41094.0,-28058.0,-78.3,13358.0,10.45
japan,display,9484.0,10509.0,7695.0,14447.0,1025.0,10.8,13358.0,10.45
australia,tv,21409.0,22300.0,19527.0,25231.0,891.0,4.2,9998.0,14.69
australia,paid_search,11906.0,24523.0,20526.0,27974.0,12617.0,106.0,9998.0,14.69
australia,social,16306.0,2090.0,1631.0,1631.0,-14216.0,-87.2,9998.0,14.69
australia,display,3932.0,4639.0,3572.0,6105.0,708.0,18.0,9998.0,14.69
