region,channel,mean_share_pct,lo90_share_pct,hi90_share_pct,marginal_roas_mean,marginal_roas_median,marginal_roas_lo90,marginal_roas_hi90
canada,tv,17.26,14.63,20.25,0.287,0.287,0.258,0.317
canada,paid_search,11.01,4.95,18.81,1.04,1.04,0.799,1.284
canada,social,2.85,1.68,4.46,0.379,0.378,0.252,0.511
canada,display,5.41,1.95,10.62,0.859,0.851,0.352,1.394
united_states,tv,18.42,15.14,21.83,0.236,0.235,0.204,0.27
united_states,paid_search,9.06,3.92,16.56,0.763,0.764,0.525,1.001
united_states,social,2.74,1.57,4.2,0.329,0.328,0.212,0.448
united_states,display,4.34,1.37,9.18,0.542,0.516,0.136,1.026
germany,tv,21.72,18.27,25.25,0.191,0.192,0.153,0.228
germany,paid_search,8.46,3.02,15.71,0.751,0.749,0.512,1.007
germany,social,2.96,1.69,4.68,0.382,0.382,0.253,0.513
germany,display,5.09,1.86,10.25,0.779,0.753,0.266,1.382
japan,tv,20.7,17.53,24.05,0.177,0.177,0.148,0.208
japan,paid_search,8.19,3.06,15.3,0.809,0.811,0.54,1.074
japan,social,3.24,2.03,4.84,0.364,0.362,0.264,0.469
japan,display,5.46,1.83,10.58,0.732,0.702,0.209,1.337
australia,tv,18.12,13.63,23.57,0.183,0.183,0.14,0.228
australia,paid_search,13.44,4.62,25.04,1.123,1.127,0.74,1.513
australia,social,2.76,1.44,4.65,0.284,0.282,0.159,0.415
australia,display,11.95,4.33,21.02,0.916,0.879,0.246,1.706
