region,channel,true_alpha,true_k,true_ec,true_beta,true_intercept,true_trend_slope
canada,tv,0.75,2.5,0.4,320000,620000,950
canada,paid_search,0.2,1.5,0.6,260000,620000,950
canada,social,0.45,1.2,0.7,200000,620000,950
canada,display,0.15,3.0,0.3,80000,620000,950
united_states,tv,0.75,2.5,0.4,230000,430000,700
united_states,paid_search,0.2,1.5,0.6,185000,430000,700
united_states,social,0.45,1.2,0.7,145000,430000,700
united_states,display,0.15,3.0,0.3,58000,430000,700
germany,tv,0.75,2.5,0.4,95000,180000,350
germany,paid_search,0.2,1.5,0.6,80000,180000,350
germany,social,0.45,1.2,0.7,65000,180000,350
germany,display,0.15,3.0,0.3,26000,180000,350
japan,tv,0.75,2.5,0.4,85000,150000,400
japan,paid_search,0.2,1.5,0.6,70000,150000,400
japan,social,0.45,1.2,0.7,58000,150000,400
japan,display,0.15,3.0,0.3,22000,150000,400
australia,tv,0.75,2.5,0.4,38000,55000,280
australia,paid_search,0.2,1.5,0.6,32000,55000,280
australia,social,0.45,1.2,0.7,26000,55000,280
australia,display,0.15,3.0,0.3,10000,55000,280
